Remove Pin=U?A-14 From Net=NRST
Remove Pin=U?A-47 From Net=TRIG_NEG_
Remove Pin=U?A-77 From Net=PA15
Remove Pin=U?A-84 From Net=PD3
Change Component Designator: OldDesignator=R6B NewDesignator=R6C
Change Component Designator: OldDesignator=R19B NewDesignator=R19C
Change Component Designator: OldDesignator=R1C NewDesignator=R1D
Change Component Designator: OldDesignator=R2C NewDesignator=R2D
Change Component Designator: OldDesignator=R3C NewDesignator=R3D
Change Component Designator: OldDesignator=R4B NewDesignator=R4C
Change Component Designator: OldDesignator=R5B NewDesignator=R5C
Change Component Designator: OldDesignator=R6C NewDesignator=R6D
Change Component Designator: OldDesignator=R19C NewDesignator=R19D
Change Component Designator: OldDesignator=R1D NewDesignator=R1E
Change Component Designator: OldDesignator=R2D NewDesignator=R2E
Change Component Designator: OldDesignator=R3D NewDesignator=R3E
Change Component Designator: OldDesignator=R4C NewDesignator=R4D
Change Component Designator: OldDesignator=R5C NewDesignator=R5D
Change Component Designator: OldDesignator=R6D NewDesignator=R6E
Change Component Designator: OldDesignator=R19D NewDesignator=R19E
Change Component Designator: OldDesignator=R1E NewDesignator=R1F
Change Component Designator: OldDesignator=R2E NewDesignator=R2F
Change Component Designator: OldDesignator=R3E NewDesignator=R3F
Change Component Designator: OldDesignator=R4D NewDesignator=R4E
Change Component Designator: OldDesignator=R5D NewDesignator=R5E
Change Component Designator: OldDesignator=R6E NewDesignator=R6F
Change Component Designator: OldDesignator=R1F NewDesignator=R1G
Change Component Designator: OldDesignator=R2F NewDesignator=R2G
Change Component Designator: OldDesignator=R3F NewDesignator=R3G
Change Component Designator: OldDesignator=R4E NewDesignator=R4F
Change Component Designator: OldDesignator=R5E NewDesignator=R5F
Change Component Designator: OldDesignator=R6F NewDesignator=R6G
Change Component Designator: OldDesignator=R4F NewDesignator=R4G
Change Component Designator: OldDesignator=R5F NewDesignator=R5G
Change Component Designator: OldDesignator=R6G NewDesignator=R6H
Change Component Designator: OldDesignator=R4G NewDesignator=R4H
Change Component Designator: OldDesignator=R5G NewDesignator=R5H
Change Component Designator: OldDesignator=R6H NewDesignator=R6I
Change Component Designator: OldDesignator=R4H NewDesignator=R4I
Change Component Designator: OldDesignator=R5H NewDesignator=R5I
Change Component Designator: OldDesignator=R6I NewDesignator=R6J
Change Component Designator: OldDesignator=R4I NewDesignator=R4J
Change Component Designator: OldDesignator=R5I NewDesignator=R5J
Change Component Designator: OldDesignator=R6J NewDesignator=R6K
Change Component Designator: OldDesignator=R4J NewDesignator=R4K
Change Component Designator: OldDesignator=R5J NewDesignator=R5K
Change Component Designator: OldDesignator=R6K NewDesignator=R6L
Change Component Designator: OldDesignator=R4K NewDesignator=R4L
Change Component Designator: OldDesignator=R5K NewDesignator=R5L
Change Component Designator: OldDesignator=R6L NewDesignator=R6M
Change Component Designator: OldDesignator=R4L NewDesignator=R4M
Change Component Designator: OldDesignator=R5L NewDesignator=R5M
Change Component Designator: OldDesignator=R6M NewDesignator=R6N
Change Component Designator: OldDesignator=R4M NewDesignator=R4N
Change Component Designator: OldDesignator=R5M NewDesignator=R5N
Change Component Designator: OldDesignator=R6N NewDesignator=R6O
Change Component Designator: OldDesignator=R6O NewDesignator=R6P
Change Component Designator: OldDesignator=R6P NewDesignator=R6Q
Change Component Designator: OldDesignator=SM? NewDesignator=SM1
Change Component Designator: OldDesignator=SWD? NewDesignator=SWD1
Change Component Designator: OldDesignator=U? NewDesignator=U1
Change Component Designator: OldDesignator=U? NewDesignator=U2
Change Component Designator: OldDesignator=U? NewDesignator=U3
Change Component Designator: OldDesignator=U? NewDesignator=U5
Change Component Designator: OldDesignator=U? NewDesignator=U6A
Change Component Designator: OldDesignator=U6A NewDesignator=U6B
Change Component Designator: OldDesignator=Y? NewDesignator=Y1
